幸腹グラフィティ,銃皇無尽のファフニール,冴えない彼女の育てかた,暗殺教室,探偵歌劇ミルキィホームズTD,艦隊これくしょん -艦これ-,アイドルマスターシンデレラガールズ,ジョジョの奇妙な冒険 スターダストクルセイダース,アルドノア・ゼロ(後半),少年ハリウッド-HOLLY STAGE FOR 50-,デュラララ!!×２,蒼穹のファフナー EXODUS,純潔のマリア,美男高校地球防衛部LOVE!,聖剣使いの禁呪詠唱＜ワールドブレイク＞,DOG DAYS″,血液型くん！2,ISUCA,東京喰種トーキョーグール√A,黒子のバスケ 第3期,アブソリュート・デュオ,新妹魔王の契約者(テスタメント) ,ローリング☆ガールズ,夜ノヤッターマン,みんな集まれ！ファルコム学園SC,神様はじめました◎,戦国無双,デス・パレード,美少女戦士セーラームーンCrystal 2期
0,913,3415,2006,1024,5965,4772,1482,1789,408,1220,856,1063,843,703,1327,90,1216,1258,725,1723,1263,1542,570,199,701,399,822,626
913,0,532,823,536,1570,1016,307,372,115,268,258,379,273,298,477,67,520,337,214,411,368,392,344,89,265,200,258,246
3415,532,0,2544,949,7036,5099,1299,1961,368,1470,789,993,950,716,1249,124,1293,1588,963,2961,1423,1311,1017,170,641,392,803,797
2006,823,2544,0,591,6377,3118,1554,1821,934,3461,812,874,3140,394,783,216,772,3775,4285,1060,693,787,898,147,1242,1141,1336,2923
1024,536,949,591,0,1795,1792,626,707,212,466,359,416,352,336,576,41,463,432,321,600,478,586,395,117,377,128,262,247
5965,1570,7036,6377,1795,0,17642,4409,3960,728,3044,1877,1512,2283,1026,2115,168,2074,3357,3149,2676,2092,2208,2536,447,1013,1277,1471,3541
4772,1016,5099,3118,1792,17642,0,4209,3536,736,2299,1641,1297,1789,956,1966,101,1762,2243,2074,2140,1847,2015,1847,335,754,667,1287,1977
1482,307,1299,1554,626,4409,4209,0,1432,483,1565,849,697,1113,397,817,79,703,1509,1604,784,777,888,950,209,559,531,799,1126
1789,372,1961,1821,707,3960,3536,1432,0,741,1959,1053,920,2286,493,987,81,743,2274,2062,956,817,999,769,156,617,311,1059,804
408,115,368,934,212,728,736,483,741,0,796,449,336,1325,183,311,77,261,885,1185,311,283,315,247,95,503,243,504,434
1220,268,1470,3461,466,3044,2299,1565,1959,796,0,756,647,2687,327,682,128,471,3335,4225,672,554,768,602,129,908,465,1264,1381
856,258,789,812,359,1877,1641,849,1053,449,756,0,494,742,292,551,86,509,810,850,483,437,489,451,149,440,306,471,569
1063,379,993,874,416,1512,1297,697,920,336,647,494,0,487,318,580,75,655,666,522,763,536,745,698,137,419,239,495,367
843,273,950,3140,352,2283,1789,1113,2286,1325,2687,742,487,0,263,453,128,406,2718,3698,506,379,450,471,133,1093,607,1290,1482
703,298,716,394,336,1026,956,397,493,183,327,292,318,263,0,426,35,503,304,178,622,518,428,313,93,213,130,200,102
1327,477,1249,783,576,2115,1966,817,987,311,682,551,580,453,426,0,74,851,618,400,937,709,674,622,140,374,253,372,380
90,67,124,216,41,168,101,79,81,77,128,86,75,128,35,74,0,71,121,117,85,42,73,69,45,84,60,99,88
1216,520,1293,772,463,2074,1762,703,743,261,471,509,655,406,503,851,71,0,485,319,934,799,702,600,136,349,263,418,276
1258,337,1588,3775,432,3357,2243,1509,2274,885,3335,810,666,2718,304,618,121,485,0,3833,744,566,703,622,129,922,438,1439,1394
725,214,963,4285,321,3149,2074,1604,2062,1185,4225,850,522,3698,178,400,117,319,3833,0,384,343,389,415,96,1019,645,1325,2322
1723,411,2961,1060,600,2676,2140,784,956,311,672,483,763,506,622,937,85,934,744,384,0,1108,967,697,167,502,270,562,296
1263,368,1423,693,478,2092,1847,777,817,283,554,437,536,379,518,709,42,799,566,343,1108,0,690,498,126,380,143,323,193
1542,392,1311,787,586,2208,2015,888,999,315,768,489,745,450,428,674,73,702,703,389,967,690,0,769,171,457,233,665,284
570,344,1017,898,395,2536,1847,950,769,247,602,451,698,471,313,622,69,600,622,415,697,498,769,0,148,395,292,542,519
199,89,170,147,117,447,335,209,156,95,129,149,137,133,93,140,45,136,129,96,167,126,171,148,0,116,96,121,102
701,265,641,1242,377,1013,754,559,617,503,908,440,419,1093,213,374,84,349,922,1019,502,380,457,395,116,0,313,580,604
399,200,392,1141,128,1277,667,531,311,243,465,306,239,607,130,253,60,263,438,645,270,143,233,292,96,313,0,377,657
822,258,803,1336,262,1471,1287,799,1059,504,1264,471,495,1290,200,372,99,418,1439,1325,562,323,665,542,121,580,377,0,598
626,246,797,2923,247,3541,1977,1126,804,434,1381,569,367,1482,102,380,88,276,1394,2322,296,193,284,519,102,604,657,598,0
